"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","HubScore","z","module","p","roles","label","role_7"
"MAG_081",16,0.785714285714286,8.30960705960706,16,0.813317759665825,0.46076189256475,"6",0,"Peripherals","","ultra peripheral"
"MAG_084",2,0.6,5,2,0,-0.849590790485746,"4",0,"Peripherals","","ultra peripheral"
"MAG_085",2,1,1,2,0,1.15470053837925,"30",0,"Peripherals","","ultra peripheral"
"MAG_089",1,1,0,1,0,0,"25",0,"Peripherals","","ultra peripheral"
"MAG_090",3,1,0.5,3,0,0.866025403784439,"48",0,"Peripherals","","ultra peripheral"
"MAG_091",3,0.8,1,3,0,0.670820393249937,"20",0,"Peripherals","","ultra peripheral"
"MAG_093",9,0.611111111111111,0.576923076923077,9,0.486320595167172,-0.912991157489411,"6",0,"Peripherals","","ultra peripheral"
"MAG_094",2,0.75,0,2,0,0,"31",0,"Peripherals","","ultra peripheral"
"MAG_097",1,1,0,1,0,0,"56",0,"Peripherals","","ultra peripheral"
"MAG_098",3,1,0.5,3,0,0.866025403784439,"48",0,"Peripherals","","ultra peripheral"
"MAG_100",3,1,0,3,0,0,"51",0,"Peripherals","","ultra peripheral"
"MAG_101",1,0.666666666666667,0,1,0,-0.577350269189626,"15",0,"Peripherals","","ultra peripheral"
"MAG_102",5,0.523809523809524,0,5,0.239642156308616,-1.6979929003775,"6",0,"Peripherals","","ultra peripheral"
"MAG_103",2,0.75,0,2,0,-0.866025403784439,"48",0,"Peripherals","","ultra peripheral"
