"phenotype","name","coefficient","p_value","p_adj"
"FNL","GT8",3.03944257794921,0.208523689190718,0.613586947503723
"FNL","GT81",22.2242636324028,0.0210239092620158,0.404471970898946
"FNL","GT83",22.062044755563,0.122088627472688,0.512371944803411
"FNL","GT84",2.51006174208764,0.810861312886651,0.93443920325408
"FNL","GT85",-3.15125364797938,0.569804136245596,0.830784361451602
"FNL","GT87",-0.251252768814326,0.96455854203863,0.988449198446836
"FNL","GT89",-2.94240696710804,0.455556105154803,0.754837300450677
"FNL","GT9",5.48202924615526,0.612449016863731,0.854424786469293
"FNL","GT90",3.6261867976889,0.0557749733732133,0.496247142406141
"FNL","GT92",4.16054660249666,0.0977575953685785,0.505190418892659
"FNL","GT93",5.42132241933454,0.416585018142362,0.717453170055519
"FNL","GT94",6.90217893390903,0.326988793057252,0.66156436964971
"FNL","GT99",8.93942991758621,0.398540613615115,0.703630324727375
"FNL","PL1",9.52469393374457,0.127727860240007,0.51261200943101
"FNL","PL10",-7.78848608304001,0.323772824492261,0.66156436964971
"FNL","PL10_1",-11.2256893712168,0.0233386503501432,0.420254375291141
"FNL","PL10_2",-13.9202857446839,0.09872667819543,0.505190418892659
"FNL","PL10_3",0.524470292181716,0.922239049746536,0.983180798253252
"FNL","PL11",-2.84950933402551,0.759013576921456,0.932502730727425
"FNL","PL11_1",-10.9069228611383,0.100361138667752,0.505190418892659
"FNL","PL11_2",-1.23758794875501,0.782644179411433,0.932502730727425
"FNL","PL12",1.44155669525907,0.852592085749154,0.954162976822899
"FNL","PL12_1",2.07294483335174,0.481301011267632,0.77014593781998
"FNL","PL12_2",5.3678876880124,0.941455001686242,0.988449198446836
"FNL","PL12_3",10.4450990199673,0.0263705619547103,0.421928991275364
"FNL","PL14",-5.20704925672584,0.410188558356113,0.714341979177992
"FNL","PL14_3",-0.738437141612913,0.844626768341917,0.950437154705629
"FNL","PL15",-7.76504734615003,0.140040736817822,0.53111746111648
"FNL","PL15_1",1.93220612092311,0.37531508504509,0.684029347974091
"FNL","PL16",1.15447771294845,0.526020104378756,0.792773250748377
"FNL","PL17",0.273574530102563,0.946960800621086,0.988449198446836
"FNL","PL17_1",1.38949641699833,0.517556611750054,0.791011896167247
"FNL","PL17_2",0.394106514427134,0.925422490967925,0.983180798253252
"FNL","PL1_11",-1.18445900869961,0.779409195152509,0.932502730727425
"FNL","PL1_13",0.931969121049586,0.802425509879754,0.93443920325408
"FNL","PL1_2",-14.2761022204157,0.0478671658748954,0.471307479383586
"FNL","PL1_3",-1.70212614262835,0.624298807996644,0.85692548137342
"FNL","PL1_4",-1.49203918463737,0.498193028682258,0.780045353777725
"FNL","PL1_5",7.28756501642069,0.0210629453901182,0.404471970898946
"FNL","PL1_6",14.171440720732,0.0151032389726652,0.404471970898946
"FNL","PL1_7",0.189020207589023,0.965282420358238,0.988449198446836
"FNL","PL1_8",1.22421931271226,0.379224755428983,0.684029347974091
"FNL","PL1_9",5.84526817237965,0.00179492359554175,0.318730045575416
"FNL","PL2",12.7080046307697,0.0875427957892281,0.505190418892659
"FNL","PL20",-5.11619843800991,0.127834416353419,0.51261200943101
"FNL","PL21",-1.62509176525,0.815867807704609,0.93443920325408
"FNL","PL21_1",-3.00879913463147,0.455455005540129,0.754837300450677
"FNL","PL22",-5.2393904875034,0.293341067914566,0.66156436964971
"FNL","PL22_1",-2.50516890313803,0.280951947209439,0.66156436964971
"FNL","PL22_2",-5.27514809656119,0.473774552197553,0.77014593781998
"FNL","PL26",9.60552182530563,0.0720229886052184,0.505190418892659
"FNL","PL27",12.9144981027114,0.0490128780216172,0.473482897114491
"FNL","PL29",-5.56975732151251,0.341247661021967,0.66439804509407
"FNL","PL2_1",-0.551344140016515,0.900696741842501,0.977026974202035
"FNL","PL3",-5.09558155307003,0.106278420215543,0.505190418892659
"FNL","PL31",-3.86770396732847,0.260204054138714,0.659527107519908
"FNL","PL33",-4.04608886535398,0.218336112697986,0.615997812993604
"FNL","PL33_1",0.956366361494497,0.81763430284732,0.93443920325408
"FNL","PL33_2",2.6614358041279,0.316188673958918,0.66156436964971
"FNL","PL34",-6.36032877661071,0.330782184824855,0.66156436964971
"FNL","PL35",-0.2110076958703,0.955741823782886,0.988449198446836
"FNL","PL36_2",-2.98241821310056,0.349370429617844,0.66439804509407
"FNL","PL37",-8.74925360917807,0.294439854832183,0.66156436964971
"FNL","PL38",-10.3040936090399,0.306558304311054,0.66156436964971
"FNL","PL39",2.87051652819154,0.726234888050291,0.91359278300184
"FNL","PL3_1",-7.02685454494053,0.216488826618168,0.615997812993604
"FNL","PL3_2",4.26223204841073,0.328465543803901,0.66156436964971
"FNL","PL3_4",6.56967293450968,0.130155393019592,0.51261200943101
"FNL","PL3_5",-7.60490739246175,0.105498310348229,0.505190418892659
"FNL","PL4",-7.20221952546358,0.161531339163179,0.558811119267213
"FNL","PL40",-7.38988902129267,0.0667697461538148,0.505190418892659
"FNL","PL41",-4.69127847159182,0.418981441106641,0.717453170055519
"FNL","PL42",-0.0348596763752125,0.995994311605135,0.997943419847024
"FNL","PL4_1",8.59642208169036,0.0064869507873785,0.318730045575416
"FNL","PL4_2",15.7022063628651,0.824663547099351,0.938909709629963
"FNL","PL5",-2.02529918273924,0.672780374066889,0.869857453339008
"FNL","PL5_1",1.09290993954628,0.333570021093918,0.66439804509407
"FNL","PL6",-0.0527108636036738,0.989973068891672,0.993855316220659
"FNL","PL6_1",-2.53752585030297,0.505508769080733,0.784304514452531
"FNL","PL6_2",-3.11199283197869,0.481993617144739,0.77014593781998
"FNL","PL7",3.79362033269756,0.515702877176102,0.791011896167247
