KO,L1,level1,L2,level2,L3,pathway,Description
K00149,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00310,Lysine degradation [PATH:ko00310],aldehyde dehydrogenase family 9 member A1  [EC:1.2.1.47 1.2.1.3] 
K00149,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00380,Tryptophan metabolism [PATH:ko00380],aldehyde dehydrogenase family 9 member A1  [EC:1.2.1.47 1.2.1.3] 
K00149,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00561,Glycerolipid metabolism [PATH:ko00561],aldehyde dehydrogenase family 9 member A1  [EC:1.2.1.47 1.2.1.3] 
K00149,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],aldehyde dehydrogenase family 9 member A1  [EC:1.2.1.47 1.2.1.3] 
K00149,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],aldehyde dehydrogenase family 9 member A1  [EC:1.2.1.47 1.2.1.3] 
K00149,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00330,Arginine and proline metabolism [PATH:ko00330],aldehyde dehydrogenase family 9 member A1  [EC:1.2.1.47 1.2.1.3] 
K00149,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00053,Ascorbate and aldarate metabolism [PATH:ko00053],aldehyde dehydrogenase family 9 member A1  [EC:1.2.1.47 1.2.1.3] 
K00149,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00071,Fatty acid degradation [PATH:ko00071],aldehyde dehydrogenase family 9 member A1  [EC:1.2.1.47 1.2.1.3] 
K00150,l1_09100,Metabolism,l1_09102,Energy metabolism,map00710,Carbon fixation in photosynthetic organisms [PATH:ko00710],glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)  [EC:1.2.1.59] 
K00150,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)  [EC:1.2.1.59] 
K00151,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00350,Tyrosine metabolism [PATH:ko00350],5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase  [EC:1.2.1.60] 
K00152,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00626,Naphthalene degradation [PATH:ko00626],salicylaldehyde dehydrogenase  [EC:1.2.1.65] 
K00156,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],pyruvate dehydrogenase (quinone)  [EC:1.2.5.1] 
K00157,l1_09100,Metabolism,l1_09108,Metabolism of cofactors and vitamins,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760],aldehyde oxidase  [EC:1.2.3.1] 
K00157,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00982,Drug metabolism - cytochrome P450 [PATH:ko00982],aldehyde oxidase  [EC:1.2.3.1] 
K00157,l1_09100,Metabolism,l1_09108,Metabolism of cofactors and vitamins,map00750,Vitamin B6 metabolism [PATH:ko00750],aldehyde oxidase  [EC:1.2.3.1] 
K00157,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00380,Tryptophan metabolism [PATH:ko00380],aldehyde oxidase  [EC:1.2.3.1] 
K00157,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00350,Tyrosine metabolism [PATH:ko00350],aldehyde oxidase  [EC:1.2.3.1] 
K00157,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map04630,JAK-STAT signaling pathway [PATH:ko04630],aldehyde oxidase  [EC:1.2.3.1] 
K00157,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",aldehyde oxidase  [EC:1.2.3.1] 
K00157,l1_09100,Metabolism,l1_09108,Metabolism of cofactors and vitamins,map00830,Retinol metabolism [PATH:ko00830],aldehyde oxidase  [EC:1.2.3.1] 
K00158,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],pyruvate oxidase  [EC:1.2.3.3] 
K00161,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],pyruvate dehydrogenase E1 component alpha subunit  [EC:1.2.4.1] 
K00161,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map04066,HIF-1 signaling pathway [PATH:ko04066],pyruvate dehydrogenase E1 component alpha subunit  [EC:1.2.4.1] 
K00161,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],pyruvate dehydrogenase E1 component alpha subunit  [EC:1.2.4.1] 
K00161,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],pyruvate dehydrogenase E1 component alpha subunit  [EC:1.2.4.1] 
K00162,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],pyruvate dehydrogenase E1 component beta subunit  [EC:1.2.4.1] 
K00162,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],pyruvate dehydrogenase E1 component beta subunit  [EC:1.2.4.1] 
K00162,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map04066,HIF-1 signaling pathway [PATH:ko04066],pyruvate dehydrogenase E1 component beta subunit  [EC:1.2.4.1] 
K00162,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],pyruvate dehydrogenase E1 component beta subunit  [EC:1.2.4.1] 
K00163,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],pyruvate dehydrogenase E1 component  [EC:1.2.4.1] 
